NAMESPACE     LAST SEEN   TYPE      REASON                         OBJECT                                               MESSAGE
kube-system   113s        Normal    Pulled                         pod/gke-metrics-agent-85s2d                          Successfully pulled image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-agent:1.16.1-gke.3@sha256:4cc4daca02a5928dd1c38b03ff421c9b3bca9cbc1249ccf69f8acfe3948ac1df" in 2.928s (27.326s including waiting). Image size: 31395961 bytes.
kube-system   112s        Normal    Pulled                         pod/pdcsi-node-2h6jw                                 Successfully pulled image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20250311_2300_RC0@sha256:e6713a8266629d9e103f7b2c7715bf510170fe28ebe2dc341327fa5e6a0facde" in 1.596s (21.304s including waiting). Image size: 25809711 bytes.
gmp-system    112s        Normal    Pulling                        pod/collector-2hn2m                                  Pulling image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/node_token_broker/init:gke_node_token_broker_init_20260714.00_p0@sha256:e3c8889fcbb07392d3b8a8ff0d4cf80310cb116628c7742061d7c71855c326cb"
kube-system   112s        Normal    Created                        pod/pdcsi-node-2h6jw                                 Container created
kube-system   111s        Normal    Pulled                         pod/node-local-dns-mrvqm                             Successfully pulled image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/k8s-dns-node-cache:1.26.8-gke.5@sha256:b466bc19f519bf5eb7ee278a57d33f9fdf253db8dd4e78677bd7b0373afcfea7" in 3.468s (27.36s including waiting). Image size: 52897804 bytes.
kube-system   111s        Normal    Created                        pod/node-local-dns-mrvqm                             Container created
argocd        111s        Normal    Pulled                         pod/argocd-repo-server-7df895d8f4-pr26x              Successfully pulled image "quay.io/argoproj/argocd:v3.5.1" in 1.067s (4.818s including waiting). Image size: 210598970 bytes.
kube-system   111s        Normal    Pulling                        pod/pdcsi-node-2h6jw                                 Pulling image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/csi-node-driver-registrar:v2.15.0-gke.34@sha256:b38f4e46ad46c1f83f550d695812296b8d2d6a211c3fc0633f28979b0e958516"
kube-system   111s        Normal    Started                        pod/pdcsi-node-2h6jw                                 Container started
kube-system   111s        Normal    Pulling                        pod/node-local-dns-mrvqm                             Pulling image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/gke-metrics-collector:20260422_2300_RC0@sha256:70625564549ccc35d34e119dd3e3d5e2f841be9c309940d3ed5bb4e649a3c59f"
kube-system   111s        Normal    Started                        pod/node-local-dns-mrvqm                             Container started
argocd        110s        Normal    Created                        pod/argocd-repo-server-7df895d8f4-pr26x              Container created
argocd        110s        Normal    Started                        pod/argocd-repo-server-7df895d8f4-pr26x              Container started
kube-system   109s        Normal    Pulled                         pod/kube-dns-77d469c9c9-h2h5f                        Successfully pulled image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/k8s-dns-kube-dns:1.26.8-gke.3@sha256:e349d527bdfe0dfd02c26b38a94311415839ea30f48ca837d08ba5d9383f77cd" in 1.944s (6.12s including waiting). Image size: 30596335 bytes.
kube-system   109s        Normal    Pulling                        pod/kube-dns-77d469c9c9-h2h5f                        Pulling image "asia-south1-artifactregistry.gcr.io/gke-release/gke-release/k8s-dns-dnsmasq-nanny:1.26.8-gke.3@sha256:b5a2a5d776d611873573087f2caae2655122eb6354ca33856358331a1dcb9f2a"
kube-system   109s        Normal    Started                        pod/kube-dns-77d469c9c9-h2h5f                        Container started
kube-system   109s        Normal    Created                        pod/kube-dns-77d469c9c9-h2h5f                        Container created
kube-system   108s        Normal    Started                        pod/konnectivity-agent-79cd9446fc-bkzh9              Container started
kube-system   108s        Normal    Created                        pod/konnectivity-agent-79cd9446fc-bkzh9              Container created
